Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
North Yorkshire Police,North-Yorkshire,1,2025,7471,7.57,7,6887,92.2,575,7.7,9,0.1
Northamptonshire Police,Northamptonshire,1,2025,10452,5.24,4,9895,94.7,542,5.2,15,0.1
Northumbria Police,Northumbria,1,2025,19491,8.29,6,18183,93.3,1079,5.5,229,1.2
Nottinghamshire Police,Nottinghamshire,1,2025,15247,6.16,5,14440,94.7,744,4.9,63,0.4
Police Scotland,Scotland,1,2025,53020,9.31,5,44995,84.9,7115,13.4,910,1.7
Police Service of Northern Ireland,Northern-Ireland,1,2025,18776,8.96,6,16115,85.8,2344,12.5,317,1.7
South Wales Police,South-Wales,1,2025,17356,6.24,3,15792,91,1378,7.9,186,1.1
South Yorkshire Police,South-Yorkshire,1,2025,19525,6.19,5,18087,92.6,1403,7.2,35,0.2
Staffordshire Police,Staffordshire,1,2025,13626,8.11,4,12527,91.9,784,5.8,315,2.3
Suffolk Constabulary,Suffolk,1,2025,7942,6.43,4,7466,94,405,5.1,71,0.9
Surrey Police,Surrey,1,2025,11859,7.35,4,10761,90.7,879,7.4,219,1.8
Sussex Police,Sussex,1,2025,20427,4.79,4,19584,95.9,766,3.7,77,0.4
Thames Valley Police,Thames-Valley,1,2025,26041,5.46,4,24714,94.9,1220,4.7,107,0.4
Warwickshire Police,Warwickshire,1,2025,7720,10.1,7,6576,85.2,1052,13.6,92,1.2
West Mercia Police,West-Mercia,1,2025,13111,9.11,5,11692,89.2,1099,8.4,320,2.4
West Midlands police,West-Midlands,1,2025,53797,5.7,5,52263,97.1,1504,2.8,30,0.1
West Yorkshire Police,West-Yorkshire,1,2025,36172,5.26,4,33811,93.5,2281,6.3,80,0.2
Wiltshire Police,Wiltshire,1,2025,7640,9.51,6,6786,88.8,740,9.7,114,1.5
Avon and Somerset Constabulary,Avon-and-Somerset,2,2025,19950,4.68,4,19404,97.3,500,2.5,46,0.2
Bedfordshire Police,Bedfordshire,2,2025,8645,7.86,4,7893,91.3,548,6.3,204,2.4
Cambridgeshire Constabulary,Cambridgeshire,2,2025,10453,4.67,3,9836,94.1,555,5.3,62,0.6
Cheshire Constabulary,Cheshire,2,2025,9876,7.04,4,9029,91.4,755,7.6,92,0.9
Cleveland Police,Cleveland,2,2025,7623,6.45,5,6862,90,732,9.6,29,0.4
Cumbria Constabulary,Cumbria,2,2025,4649,8.5,7,4011,86.3,621,13.4,17,0.4
Derbyshire Constabulary,Derbyshire,2,2025,11218,6.52,6,10014,89.3,1194,10.6,10,0.1
Devon & Cornwall Police,Devon-and-Cornwall,2,2025,19638,8.13,6,18253,92.9,1241,6.3,144,0.7
Dorset Police,Dorset,2,2025,8346,9.24,7,7396,88.6,856,10.3,94,1.1
Durham Constabulary,Durham,2,2025,6667,9.98,6,5730,85.9,794,11.9,143,2.1
Dyfed-Powys Police,Dyfed-Powys,2,2025,4327,5.47,4,4046,93.5,265,6.1,16,0.4
Essex Police,Essex,2,2025,20894,7.96,4,18183,87,2288,11,423,2
Gloucestershire Constabulary,Gloucestershire,2,2025,5849,5.13,4,5447,93.1,395,6.8,7,0.1
Greater Manchester Police,Greater-Manchester,2,2025,39873,5.66,4,37500,94,2179,5.5,194,0.5
Gwent Police,Gwent,2,2025,6415,5.34,4,6126,95.5,269,4.2,20,0.3
Hampshire Constabulary,Hampshire,2,2025,18956,5.83,4,17845,94.1,1052,5.5,59,0.3
Hertfordshire Constabulary,Hertfordshire,2,2025,12478,6.59,4,11388,91.3,1014,8.1,76,0.6
Humberside Police,Humberside,2,2025,10649,5.36,4,10046,94.3,585,5.5,18,0.2
Kent Police,Kent,2,2025,21934,5.1,4,20764,94.7,1084,4.9,86,0.4
Lancashire Constabulary,Lancashire,2,2025,18221,6.27,5,17256,94.7,942,5.2,23,0.1
Leicestershire Police,Leicestershire,2,2025,13662,6.28,4,12965,94.9,523,3.8,174,1.3
Lincolnshire Police,Lincolnshire,2,2025,6820,3.5,3,6643,97.4,162,2.4,15,0.2
Merseyside Police,Merseyside,2,2025,20099,6.11,4,18172,90.4,1766,8.8,161,0.8
Metropolitan Police Service,Metropolitan,2,2025,153682,20.46,7,109945,71.5,30792,20,12945,8.4
Norfolk Constabulary,Norfolk,2,2025,8319,6.65,5,7536,90.6,752,9,31,0.4
North Wales Police,North-Wales,2,2025,7367,7.16,4,6178,83.9,1131,15.4,58,0.8
North Yorkshire Police,North-Yorkshire,2,2025,7085,7.37,6,6523,92.1,552,7.8,10,0.1
Northamptonshire Police,Northamptonshire,2,2025,10091,5.42,4,9432,93.5,646,6.4,13,0.1
Northumbria Police,Northumbria,2,2025,18313,8.99,6,16849,92,1194,6.5,270,1.5
Nottinghamshire Police,Nottinghamshire,2,2025,14439,6.24,5,13596,94.2,772,5.3,71,0.5
Police Scotland,Scotland,2,2025,50244,10.65,5,39913,79.4,9266,18.4,1065,2.1
Police Service of Northern Ireland,Northern-Ireland,2,2025,16836,9.13,6,14211,84.4,2318,13.8,307,1.8
South Wales Police,South-Wales,2,2025,15690,5.97,3,14357,91.5,1204,7.7,129,0.8
South Yorkshire Police,South-Yorkshire,2,2025,18048,6.06,5,16834,93.3,1194,6.6,20,0.1
Staffordshire Police,Staffordshire,2,2025,13200,9.97,4,11754,89,969,7.3,477,3.6
Suffolk Constabulary,Suffolk,2,2025,7193,9.86,5,6403,89,599,8.3,191,2.7
Surrey Police,Surrey,2,2025,11073,7.39,4,9964,90,913,8.2,196,1.8
Sussex Police,Sussex,2,2025,18515,4.98,4,17637,95.3,806,4.4,72,0.4
Thames Valley Police,Thames-Valley,2,2025,24379,6.16,4,22767,93.4,1437,5.9,175,0.7
Warwickshire Police,Warwickshire,2,2025,7182,9.76,7,6122,85.2,997,13.9,63,0.9
West Mercia Police,West-Mercia,2,2025,11956,9.59,5,10658,89.1,993,8.3,305,2.6
West Midlands police,West-Midlands,2,2025,50634,5.99,5,48444,95.7,2159,4.3,31,0.1
West Yorkshire Police,West-Yorkshire,2,2025,33832,5.8,4,31066,91.8,2609,7.7,157,0.5
Wiltshire Police,Wiltshire,2,2025,6687,9.01,6,5919,88.5,693,10.4,75,1.1
