Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Essex Police,Essex,11,2023,24028,11.11,6,19782,82.3,3548,14.8,698,2.9
Gloucestershire Constabulary,Gloucestershire,11,2023,6969,8.32,6,5951,85.4,959,13.8,59,0.8
Greater Manchester Police,Greater-Manchester,11,2023,44491,5.91,4,41798,93.9,2373,5.3,320,0.7
Gwent Police,Gwent,11,2023,6961,6.01,5,6504,93.4,435,6.2,22,0.3
Hampshire Constabulary,Hampshire,11,2023,22990,11.64,7,19315,84,3042,13.2,633,2.8
Hertfordshire Constabulary,Hertfordshire,11,2023,14551,9.45,5,12118,83.3,2174,14.9,259,1.8
Humberside Police,Humberside,11,2023,12292,8.29,5,10642,86.6,1479,12,171,1.4
Kent Police,Kent,11,2023,25585,10.44,5,21459,83.9,3333,13,793,3.1
Lancashire Constabulary,Lancashire,11,2023,21757,8.5,7,19169,88.1,2546,11.7,42,0.2
Leicestershire Police,Leicestershire,11,2023,16750,9.79,4,15065,89.9,1101,6.6,584,3.5
Lincolnshire Police,Lincolnshire,11,2023,8576,5.93,4,7878,91.9,637,7.4,61,0.7
Merseyside Police,Merseyside,11,2023,22593,8.96,4,19489,86.3,2481,11,623,2.8
Metropolitan Police Service,Metropolitan,11,2023,187606,12.74,6,157048,83.7,23381,12.5,7177,3.8
Norfolk Constabulary,Norfolk,11,2023,9947,6.85,5,8869,89.2,1037,10.4,41,0.4
North Wales Police,North-Wales,11,2023,8015,6.51,4,6912,86.2,1059,13.2,44,0.5
North Yorkshire Police,North-Yorkshire,11,2023,8750,10.87,7,7098,81.1,1536,17.6,116,1.3
Northamptonshire Police,Northamptonshire,11,2023,11111,5.92,4,10159,91.4,913,8.2,39,0.4
Northumbria Police,Northumbria,11,2023,22913,8.92,7,20330,88.7,2281,10,302,1.3
Nottinghamshire Police,Nottinghamshire,11,2023,15928,8.03,6,14294,89.7,1481,9.3,153,1
Police Scotland,Scotland,11,2023,57852,9.21,5,49537,85.6,7314,12.6,1001,1.7
Police Service of Northern Ireland,Northern-Ireland,11,2023,16851,8.66,6,13866,82.3,2806,16.7,179,1.1
South Wales Police,South-Wales,11,2023,17613,7.31,3,15399,87.4,1913,10.9,301,1.7
South Yorkshire Police,South-Yorkshire,11,2023,21053,7.98,5,18234,86.6,2620,12.4,199,0.9
Staffordshire Police,Staffordshire,11,2023,17034,12.22,5,14733,86.5,1521,8.9,780,4.6
Suffolk Constabulary,Suffolk,11,2023,9328,8.99,5,8526,91.4,561,6,241,2.6
Surrey Police,Surrey,11,2023,13208,11.2,5,11377,86.1,1376,10.4,455,3.4
Sussex Police,Sussex,11,2023,21953,8.45,6,20033,91.3,1607,7.3,313,1.4
Thames Valley Police,Thames-Valley,11,2023,30786,11.82,6,25029,81.3,4844,15.7,913,3
Warwickshire Police,Warwickshire,11,2023,7837,9.96,7,6741,86,1010,12.9,86,1.1
